Institution,ZIP,Cost,
Dutchess Community College,12601-1595,20565,
Earlham College,47374-4095,61265,
East Carolina University,27858-4353,22388,
East Central Community College,39327-0129,12060,
East Central University,74820-6999,18534,
East Georgia State College,30401,17324,
East Mississippi Community College,39358-0158,13055,
East Stroudsburg University of Pennsylvania,18301-2999,26938,
East Tennessee State University,37614,24162,
East Texas Baptist University,75670-1498,39569,
Eastern Arizona College,85552-0769,15173,
Eastern Connecticut State University,06226,28845,
Eastern Illinois University,61920,24653,
Eastern Iowa Community College District,52801-1221,17470,
Eastern Kentucky University,40475-3102,24352,
Eastern Maine Community College,04401,18166,
Eastern Mennonite University,22802-2462,52900,
Eastern Michigan University,48197,27566,
Eastern Nazarene College,02170-2999,42630,
Eastern New Mexico University-Main Campus,88130,19198,
Eastern New Mexico University-Roswell Campus,88202-6000,12925,
Eastern Oklahoma State College,74578-4999,13989,
Eastern Oregon University,97850,23382,
Eastern University,19087-3696,50757,
Eastern Washington University,99004-2496,23531,
Eastern Wyoming College,82240-1699,15458,
Ecclesia College,72762,28430,
Eckerd College,33711-4700,63572,
Edgewood College,53711-1997,45662,
Edinboro University of Pennsylvania,16444-0001,24924,
Edmonds Community College,98036-5912,17607,
Edward Waters College,32209,27164,
Elim Bible Institute and College,14485-9704,19016,
Elizabeth City State University,27909,13496,
Elizabethtown College,17022-2298,45860,
Ellsworth Community College,50126,17996,
Elmhurst College,60126-3296,52049,
Elmira College,14901,49050,
Elon University,27244-2010,52756,
Embry-Riddle Aeronautical University-Daytona Beach,32114-3900,54724,
Embry-Riddle Aeronautical University-Prescott,86301-3720,54536,
Emerson College,02116-4624,72222,
Emmanuel College,30639,32712,
Emmanuel College,02115,60243,
Emmaus Bible College,52001-3096,29950,
Emory & Henry College,24327-0947,51617,
Emory University,30322,72604,
Emory University-Oxford College,30054,72604,
Emporia State University,66801-5415,20723,
Endicott College,01915,53099,
Erie Community College,14203-2698,21186,
Erskine College,29639,53975,
Eureka College,61530,39620,
Evangel University,65802-2125,38084,
Everett Community College,98201,19151,
Fairfield University,06824-5195,67860,
Fairleigh Dickinson University-Florham Campus,07940,62522,
Fairleigh Dickinson University-Metropolitan Campus,07666,59976,
Fairmont State University,26554-2470,20468,
Faith Baptist Bible College and Theological Seminary,50023-2152,28778,
Family of Faith Christian University,74802,23214,
Farmingdale State College,11735-1021,25156,
Fashion Institute of Technology,10001-5992,24666,
Faulkner University,36109-3390,36335,
Fayetteville State University,28301-4298,17521,
Feather River Community College District,95971-9124,16414,
Felician University,07644,52910,
