instnm,ZIP code,Cost of Attendance,Computer Science,Education,Chemical Engineering,Mechanical Engineering,Electrical and Computer Engineering,English Language and Literature,Biology,Mathematics and Statistics,Philosophy,Religion/Religious Studies,Psychology,Dance,Business/Commerce,History
Gettysburg College,17325,71850,17,2,,,,49,39,9,15,2,43,,,31
Gonzaga University,99258-0001,62250,56,22,,75,,36,88,9,9,3,81,2,297,19
Gordon College,1984,52100,11,25,,,,16,25,6,2,8,33,,,12
Goshen College,46526-4794,48890,2,8,,,,6,6,2,,,3,,8,5
Governors State University,60484,23251,41,40,,,,20,13,13,,,96,,,1
Grambling State University,71245,24703,6,44,,,,5,51,4,,,15,,,14
Grand Canyon University,85017,32100,18,1256,,61,,97,227,,,1,,7,1,87
Grinnell College,50112-1690,70746,40,,,,,23,40,29,8,3,17,,,14
Grove City College,16127-2104,30380,21,52,,62,,16,6,8,3,11,19,,,9
Gustavus Adolphus College,56082-1498,59270,9,32,,,,25,41,9,5,5,47,6,42,10
Hampden-Sydney College,23943-0128,63602,2,,,,,5,22,9,2,1,6,,,30
Hampshire College,01002-5001,68088,4,5,,,,17,1,3,7,2,16,7,,2
Hampton University,23668-0099,44291,8,9,13,,,9,75,2,,0,91,,,3
Hanover College,47243,53400,7,10,,,,12,20,4,4,,16,,,10
Harding University,72149-5615,31911,32,121,,24,,16,7,6,,,40,,,10
Harvard University,2138,73800,180,0,,19,,54,0,197,25,5,77,,,142
Harvey Mudd College,91711,79539,47,,,,,,3,7,,0,0,0,,
Hastings College,68901,45420,3,28,,,,4,18,3,0,1,12,,3,3
Hawaii Pacific University,96813,49640,30,16,,,,1,32,7,,,34,,,16
Heidelberg University,44883-2462,45400,4,28,,,,9,8,1,0,0,15,,,9
Hendrix College,72032-3080,64060,9,,,,,13,24,2,4,2,43,,,17
High Point University,27268,54720,17,53,,,,10,49,8,3,2,47,0,,9
Hiram College,44234-0067,51167,4,21,,,,7,8,0,0,0,5,,,3
Hofstra University,11549,66260,38,24,,32,,50,25,20,8,0,83,9,0,25
Hood College,21701,58450,11,13,,,,9,14,7,1,0,16,,,6
Howard University,20059-0001,45971,36,8,19,23,,13,113,6,4,,41,,,6
Humboldt State University,95521-8299,25344,48,0,,,,39,129,9,5,6,174,,,24
Huston-Tillotson University,78702-2795,24414,3,21,,,,2,11,1,,,33,,,3
Idaho State University,83209,22247,22,88,,30,,25,52,3,4,,59,1,9,15
Illinois College,62650-2299,44614,4,11,,,,18,20,3,1,1,23,,,8
Illinois Institute of Technology,60616,68262,71,,42,91,,,10,13,,,11,,,
Illinois State University,61790-1000,31124,53,677,,,,104,112,69,12,,145,,,94
Illinois Wesleyan University,61702-2900,63840,12,16,,,,15,26,10,1,1,20,,38,5
Indiana Institute of Technology,46803-1228,41976,16,10,,16,,,,,,,4,,,
Indiana University-Bloomington,47405-7000,25657,140,355,,,,77,264,88,10,8,279,21,2002,50
Indiana University-Purdue University-Indianapolis,46202-5143,23305,93,209,,175,,49,137,30,6,2,228,,522,23
Indiana University-South Bend,46615-7111,20277,20,65,,,,9,29,9,2,,28,,180,4
Indiana University-Southeast,47150,21519,25,69,,,,21,43,10,5,,81,,168,6
Inter American University of Puerto Rico-Bayamon,00957-6257,21137,29,,,16,,,38,,,,,,,
Inter American University of Puerto Rico-San German,683,18337,19,43,,,,4,104,2,,,35,,,
Iona College,10801-1890,59258,11,26,,,,12,9,3,2,0,54,,,3
Iowa State University,50011-2103,21940,124,267,128,429,,88,182,99,9,5,186,,,62
Ithaca College,14850-7002,64091,23,48,,,,52,23,5,3,,47,,,10
John Carroll University,44118-4538,59892,19,24,,,,21,62,7,14,3,59,,,8
Johnson & Wales University-Providence,02903-3703,52650,2,,,,,3,32,,,,73,,,
Juniata College,16652-2196,62125,9,16,,,,12,48,4,0,0,20,,,9
Kennesaw State University,30144,27253,240,326,,225,,71,248,30,2,,390,24,,36
Kent State University at Kent,44242-0001,26670,73,443,,,,68,134,37,6,,326,9,,42
Kettering University,48504-6214,58080,21,,26,255,,,2,2,,,,,,
Keystone College,18440-0200,41970,1,22,,,,,7,,,,22,,,
King's College,18711-0801,56174,4,23,,0,,9,13,2,3,,22,,,6
Knox College,61401-9999,60136,18,15,,,,38,29,3,2,,23,,,12
La Roche University,15237-5898,45004,10,16,,,,5,7,4,,0,20,6,,4
La Salle University,19141-1199,48800,17,21,,,,10,27,5,0,1,48,,15,7
La Sierra University,92505-8247,47883,4,0,,,,6,18,2,,5,8,,2,4
Lake Forest College,60045-2399,62850,7,11,,,,19,21,11,7,1,25,,52,7
Lake Superior State University,49783,25535,5,25,,17,,4,10,2,,,14,,11,9
Landmark College,5346,77400,2,,,,,,,,,,2,,,
Lane College,38301-4598,23680,2,14,,,,1,24,1,,2,,,,4
Lawrence Technological University,48075-1058,51846,28,,,81,,3,,2,,,3,,,
Lawrence University,54911,62166,16,6,,,,22,24,10,9,1,25,,,6
Lebanon Valley College,17003-1400,60792,1,66,,,,15,18,1,0,1,17,,,3
Lehigh University,18015,71465,108,,22,101,,16,44,24,4,1,48,,11,6
LeTourneau University,75602,45566,5,35,,52,,1,9,2,,,20,,,1
Lewis & Clark College,97219-7899,68890,10,,,,,25,33,13,5,5,66,,,7
Lewis University,60446-2200,47980,98,89,,,,10,48,6,6,1,74,,,9
Linfield University-McMinnville Campus,97128-6894,59452,4,26,,,,12,14,10,0,2,21,,,5
Lipscomb University,37204-3951,51454,1,42,,29,,21,40,7,2,,31,,,6
Long Island University,11548-1327,57218,8,61,,,,12,48,4,2,,54,3,,6
Longwood University,23909,29364,18,6,,,,21,51,9,,,54,,,34
Loras College,52004-0178,46754,4,23,,,,11,9,3,5,2,15,,0,7
Louisiana State University and Agricultural & Mechanical College,70803-2750,32962,122,464,127,163,,105,322,40,19,,168,,,64
Louisiana Tech University,71272,22341,63,63,32,78,,16,106,11,,,47,,,18
Loyola University Maryland,21210-2699,67660,19,25,,,,42,47,11,3,2,54,,0,16
Luther College,52101-1045,57885,10,17,,,,15,37,9,4,6,18,1,,7
Lyon College,72501,42450,2,4,,,,10,21,9,,,9,,,3
Madonna University,48150-1176,38600,4,8,,,,5,24,3,,0,10,3,,1
Maharishi International University,52557,28730,7,,,,,4,,0,,,,,,
Malone University,44709-3308,45900,2,17,,,,4,2,2,0,,6,,,2
Marist College,12601,61545,56,17,,,,13,65,31,3,1,149,,,10
Marywood University,18509-1598,53112,4,26,,,,8,20,0,0,1,17,,,2
Massachusetts Institute of Technology,02139-4307,73160,393,,42,145,,1,30,77,3,,,,,0
